query_id,category,query,system_answer,baseline_model,baseline_answer,scorer_name,score_accuracy,score_citations,score_completeness,score_gaps,score_overall,notes
PV01,personal_vault,"According to my notes, what do I care about in diffusion language models besides raw generation speed?",,,claude,,,,,,
PV01,personal_vault,"According to my notes, what do I care about in diffusion language models besides raw generation speed?",,,grok,,,,,,
PV03,personal_vault,"How does DiffusionGemma generate text compared to a normal autoregressive LLM, according to my notes?",,,claude,,,,,,
PV03,personal_vault,"How does DiffusionGemma generate text compared to a normal autoregressive LLM, according to my notes?",,,grok,,,,,,
HY01,hybrid,"Based on my notes, constrained decoding for diffusion LMs is still an open systems problem. What have papers or open engines (vLLM, SGLang) shipped since then?",,,claude,,,,,,
HY01,hybrid,"Based on my notes, constrained decoding for diffusion LMs is still an open systems problem. What have papers or open engines (vLLM, SGLang) shipped since then?",,,grok,,,,,,
RS01,research,"Synthesise my stance on diffusion LMs: structured output vs speed, any-order generation, and hybrid AR+diffusion checkpoints. Cite my notes.",,,claude,,,,,,
RS01,research,"Synthesise my stance on diffusion LMs: structured output vs speed, any-order generation, and hybrid AR+diffusion checkpoints. Cite my notes.",,,grok,,,,,,
EG01,edge_gaps,"What is the capital of Mongolia according to my notes?",,,claude,,,,,,
EG01,edge_gaps,"What is the capital of Mongolia according to my notes?",,,grok,,,,,,
EG02,edge_gaps,"What packages make up the Java Servlet architecture according to my lecture notes?",,,claude,,,,,,
EG02,edge_gaps,"What packages make up the Java Servlet architecture according to my lecture notes?",,,grok,,,,,,
